Name,Association,Class,Rarity,Level,Chibi,Health,Armor,Reload,Luck,Firepower,Torpedo,Evasion,Speed,AntiAir,Aviation,OilConsumption,Accuracy,AntiSubmarine
Universal Bullin,Universal,Destroyer,Elite,Level 120,/w/images/0/0b/Universal_BullinChibi.png,232,Light,116,100,23,23,116,35,23,23,3,116,33
Souryuu,Sakura Empire,Aircraft Carrier,Elite,Level 100,/w/images/c/c8/SouryuuChibi.png,4522,Medium,105,36,0,0,36,34,276,349,12,76,0
Universal Bullin,Universal,Destroyer,Elite,Level 100,/w/images/0/0b/Universal_BullinChibi.png,210,Light,105,100,21,21,105,35,21,21,3,105,31
Suruga,Sakura Empire,Battleship,Super Rare,Base Stats,/w/images/a/a2/SurugaChibi.png,1364,Heavy,51,37,80,39,7,28,40,0,5,21,0
Universal Bullin,Universal,Destroyer,Elite,Base Stats,/w/images/0/0b/Universal_BullinChibi.png,100,Light,50,100,10,10,50,35,10,10,2,50,20
Souryuu,Sakura Empire,Aircraft Carrier,Elite,Base Stats,/w/images/c/c8/SouryuuChibi.png,875,Medium,45,36,0,0,14,34,59,74,4,29,0
Trial Bullin MKII,Universal,Destroyer,Super Rare,Level 120,/w/images/d/df/Trial_Bullin_MKIIChibi.png,232,Light,116,100,23,23,116,35,23,23,3,116,33
Surcouf,Iris Libre,Submarine,Elite,Level 120,/w/images/e/e8/SurcoufChibi.png,2819,Light,76,60,139,509,22,14,0,0,6,164,0
Trial Bullin MKII,Universal,Destroyer,Super Rare,Level 100,/w/images/d/df/Trial_Bullin_MKIIChibi.png,210,Light,105,100,21,21,105,35,21,21,3,105,31
Hiryuu,Sakura Empire,Aircraft Carrier,Elite,Level 120 Retrofit,/w/images/a/a9/HiryuuChibi.png,5678,Medium,141,36,0,0,66,34,361,426,12,85,0
Trial Bullin MKII,Universal,Destroyer,Super Rare,Base Stats,/w/images/d/df/Trial_Bullin_MKIIChibi.png,100,Light,50,100,10,10,50,35,10,10,2,50,20
U-101,Ironblood,Submarine,Super Rare,Base Stats,/w/images/5/5d/U-101Chibi.png,209,Light,41,68,9,102,7,14,0,0,2,60,0
Dewey,Eagle Union,Destroyer,Rare,Level 120,/w/images/0/09/DeweyChibi.png,1647,Light,189,72,74,279,162,44,185,0,8,173,184
Hiryuu,Sakura Empire,Aircraft Carrier,Elite,Level 120,/w/images/a/a9/HiryuuChibi.png,5468,Medium,121,36,0,0,56,34,311,391,12,85,0
Dewey,Eagle Union,Destroyer,Rare,Level 100,/w/images/0/09/DeweyChibi.png,1372,Light,164,72,65,244,156,44,161,0,8,165,165
Surcouf,Iris Libre,Submarine,Elite,Level 100,/w/images/e/e8/SurcoufChibi.png,2349,Light,66,60,120,463,20,14,0,0,6,149,0
Dewey,Eagle Union,Destroyer,Rare,Base Stats,/w/images/0/09/DeweyChibi.png,265,Light,69,72,14,52,60,44,34,0,2,63,45
Hiryuu,Sakura Empire,Aircraft Carrier,Elite,Level 100 Retrofit,/w/images/a/a9/HiryuuChibi.png,4924,Medium,125,36,0,0,46,34,324,385,12,76,0
Cassin,Eagle Union,Destroyer,Normal,Level 120 Retrofit,/w/images/7/7c/CassinChibi.png,1900,Light,210,66,101,293,187,47,168,0,7,182,181
Chikuma,Sakura Empire,Heavy Cruiser,Unreleased,Level 100,/w/images/8/8a/ChikumaChibi.png,,,,,,,,,,,,,
Cassin,Eagle Union,Destroyer,Normal,Level 120,/w/images/7/7c/CassinChibi.png,1735,Light,190,66,76,283,162,44,168,0,7,182,181
Hiryuu,Sakura Empire,Aircraft Carrier,Elite,Level 100,/w/images/a/a9/HiryuuChibi.png,4714,Medium,105,36,0,0,36,34,274,350,12,76,0
Cassin,Eagle Union,Destroyer,Normal,Level 100 Retrofit,/w/images/7/7c/CassinChibi.png,1611,Light,185,66,91,258,181,47,146,0,7,174,162
Surcouf,Iris Libre,Submarine,Elite,Base Stats,/w/images/e/e8/SurcoufChibi.png,454,Light,28,60,26,98,8,14,0,0,2,57,0
Cassin,Eagle Union,Destroyer,Normal,Level 100,/w/images/7/7c/CassinChibi.png,1446,Light,165,66,66,248,156,44,146,0,7,174,162
Hiryuu,Sakura Empire,Aircraft Carrier,Elite,Base Stats,/w/images/a/a9/HiryuuChibi.png,912,Medium,45,36,0,0,14,34,59,74,4,29,0
Cassin,Eagle Union,Destroyer,Normal,Base Stats,/w/images/7/7c/CassinChibi.png,280,Light,70,66,14,53,60,44,31,0,1,67,44
U-522,Ironblood,Submarine,Elite,Level 120,/w/images/2/22/U-522Chibi.png,1496,Light,84,22,43,505,37,14,0,0,6,178,0
